step,execution_bon_16x16_acc,execution_bon_16x16_accumulate_acc,execution_bon_4x4_acc,execution_bon_4x4_accumulate_acc,execution_case_acc,execution_case_accumulate_acc,execution_code_acc,execution_code_accumulate_acc,execution_p_00,execution_p_01_as_logged,recorded_at,reward_case_reward_mean,reward_case_reward_num_groups,reward_case_reward_num_samples,reward_case_reward_std,reward_code_reward_mean,reward_code_reward_num_groups,reward_code_reward_num_samples,reward_code_reward_std,reward_problems_skipped,reward_problems_total,reward_problems_used,reward_reward_mode,reward_rollout_debug_meta_enabled,reward_rollout_debug_meta_max_problems_per_step,reward_rollout_debug_meta_slots_remaining_after_step,reward_rollout_debug_meta_truncate_chars,sampling_mean_case_response_tokens,sampling_mean_code_response_tokens
73,0.29,0.40375,0.28,0.38375,0.4298780487804878,0.5681652046783626,0.21375,0.30390625,0.046374367622259695,0.3922237380627558,2026-04-03T15:57:26,0.2286,9,656,0.5055,0.3039,8,1600,0.4141,0,100,100,gt_based,0,,0,,624.1075,528.3525
74,0.32,0.4375,0.3,0.4025,0.501358695652174,0.5933139534883721,0.26875,0.34,0.0936154949784792,0.34962049335863377,2026-04-03T16:05:44,0.2797,8,736,0.5587,0.34,3,1600,0.4409,0,100,100,gt_based,0,,0,,625.36,513.560625
75,0.24,0.3634085213032581,0.23,0.33208020050125314,0.4264705882352941,0.5172970479704797,0.169375,0.2523496240601504,0.051062243756988444,0.3507418397626113,2026-04-03T16:41:33,0.2606,2,544,0.4763,0.2518,10,1600,0.3885,0,100,100,gt_based,0,,0,,630.42125,537.68125
76,0.22,0.3379571248423707,0.2,0.3114754098360656,0.365625,0.496742671009772,0.191875,0.291141235813367,0.07506361323155217,0.30400572246065805,2026-04-03T16:49:39,0.1905,6,640,0.5222,0.2919,7,1600,0.4057,0,100,100,gt_based,0,,0,,633.70875,512.03125
77,0.35,0.46625,0.34,0.45125,0.34486607142857145,0.4305726600985222,0.25375,0.35015625,0.10740335521517141,0.3073005093378608,2026-04-03T16:57:22,0.1681,5,896,0.5378,0.3502,5,1600,0.426,0,100,100,gt_based,0,,0,,615.855625,510.215
78,0.3,0.43198992443324935,0.25,0.36397984886649876,0.4506578947368421,0.49297550432276654,0.216875,0.3006139798488665,0.05261060183339976,0.21835632873425315,2026-04-03T17:05:41,0.2821,6,608,0.62,0.2984,8,1600,0.4166,0,100,100,gt_based,0,,0,,621.483125,513.70125
79,0.3,0.40225563909774437,0.27,0.38345864661654133,0.390625,0.4235015772870662,0.198125,0.299968671679198,0.05112154407929056,0.5148430873621713,2026-04-03T17:13:46,0.1538,7,704,0.4645,0.2999,10,1600,0.4044,0,100,100,gt_based,0,,0,,599.74125,483.54375
80,0.34,0.43,0.25,0.3575,0.3664772727272727,0.43473451327433627,0.211875,0.292109375,0.05790925043870644,0.33981631550513236,2026-04-03T17:22:11,0.1577,8,704,0.5258,0.2921,9,1600,0.4097,0,100,100,gt_based,0,,0,,645.53875,498.141875
81,0.35,0.4672544080604534,0.29,0.3879093198992443,0.4050480769230769,0.5154702970297029,0.2525,0.3394993702770781,0.06636205395996518,0.24689165186500883,2026-04-03T17:30:15,0.2009,5,832,0.5528,0.337,9,1600,0.4326,0,100,100,gt_based,0,,0,,589.37125,503.62375
82,0.31,0.405,0.26,0.36,0.4427083333333333,0.5757246376811594,0.215625,0.2909375,0.03282028066998642,0.3902127659574468,2026-04-03T17:38:20,0.2498,5,768,0.5298,0.2909,9,1600,0.4065,0,100,100,gt_based,0,,0,,599.290625,485.581875
83,0.28,0.4175,0.25,0.36625,0.4318181818181818,0.5555346385542169,0.2075,0.2978125,0.0728643216080402,0.37778904665314406,2026-04-03T17:46:19,0.2373,3,704,0.5063,0.2978,8,1600,0.4157,0,100,100,gt_based,0,,0,,577.738125,499.78875
84,0.28,0.395,0.25,0.35125,0.3828125,0.4698920265780731,0.188125,0.28015625,0.04051772650534609,0.28716577540106947,2026-04-03T17:54:25,0.2112,9,640,0.4977,0.2802,17,1600,0.4008,0,100,100,gt_based,0,,0,,638.095625,492.346875
85,0.26,0.3675,0.21,0.29375,0.2708333333333333,0.3613556338028169,0.1775,0.256953125,0.0379416646905383,0.3491414554374489,2026-04-03T18:02:55,0.1217,7,624,0.4814,0.257,13,1600,0.3885,0,100,100,gt_based,0,,0,,609.32125,506.27
86,0.3,0.424090338770389,0.27,0.3877038895859473,0.438953488372093,0.4770778364116095,0.236875,0.3422992471769134,0.07574206755373593,0.36363636363636365,2026-04-03T18:11:10,0.2335,3,688,0.5636,0.3419,6,1600,0.4264,0,100,100,gt_based,0,,0,,572.38,492.775625
87,0.28,0.36,0.26,0.31625,0.42441860465116277,0.5303622159090909,0.22,0.293359375,0.052026286966046005,0.28654292343387466,2026-04-03T18:19:18,0.2779,6,688,0.5031,0.2934,9,1600,0.417,0,100,100,gt_based,0,,0,,601.7,504.304375
88,0.27,0.3875,0.26,0.35875,0.4344512195121951,0.5643028846153846,0.195,0.28515625,0.05809810907097835,0.29865229110512126,2026-04-03T18:27:44,0.2484,4,656,0.5387,0.2852,15,1600,0.3951,0,100,100,gt_based,0,,0,,593.996875,479.625625
89,0.35,0.4325,0.28,0.3375,0.3804347826086957,0.5015845070422535,0.221875,0.2828125,0.09684840119622729,0.24299599771297886,2026-04-03T18:36:11,0.2063,13,736,0.525,0.2828,10,1600,0.4143,0,100,100,gt_based,0,,0,,624.829375,480.655625
90,0.22,0.3592964824120603,0.21,0.31532663316582915,0.4791666666666667,0.5727083333333334,0.1875,0.27834484924623115,0.09784045835169679,0.359680928208847,2026-04-03T18:44:24,0.257,5,528,0.4972,0.277,12,1600,0.4016,0,100,100,gt_based,0,,0,,636.11375,498.661875
91,0.24,0.38268506900878296,0.22,0.3237139272271016,0.42567567567567566,0.5531351791530945,0.191875,0.28183814303638643,0.0985424588086185,0.33689458689458684,2026-04-03T18:52:57,0.2538,4,592,0.5419,0.2818,8,1600,0.3958,0,100,100,gt_based,0,,0,,637.834375,499.938125
92,0.26,0.37626262626262624,0.19,0.31186868686868685,0.4292763157894737,0.5870901639344263,0.190625,0.2900094696969697,0.05667389284608238,0.21556516368128475,2026-04-03T19:00:58,0.2688,9,608,0.5416,0.2878,4,1600,0.4044,0,100,100,gt_based,0,,0,,623.569375,488.3425
93,0.25,0.375,0.22,0.3275,0.37335526315789475,0.4632352941176471,0.17,0.26578125,0.08360836083608361,0.36091954022988504,2026-04-03T19:09:10,0.1771,5,608,0.5167,0.2658,9,1600,0.391,0,100,100,gt_based,0,,0,,626.375625,516.55125
94,0.26,0.3725,0.23,0.3175,0.4971590909090909,0.6533018867924528,0.165625,0.239296875,0.0737803412641192,0.3304226336011177,2026-04-03T19:17:23,0.3053,3,704,0.467,0.2393,6,1600,0.3802,0,100,100,gt_based,0,,0,,578.884375,516.1375
95,0.31,0.40125,0.36,0.415,0.47125,0.5546171171171171,0.2775,0.3515625,0.0908311910882605,0.3439635535307517,2026-04-03T19:25:10,0.276,6,800,0.5589,0.3516,6,1600,0.4425,0,100,100,gt_based,0,,0,,581.97875,514.259375
96,0.22,0.34210526315789475,0.19,0.2882205513784461,0.3975694444444444,0.5426136363636364,0.165,0.2565789473684211,0.08739495798319327,0.3755274261603375,2026-04-03T19:33:29,0.2439,7,576,0.4956,0.2584,4,1600,0.3881,0,100,100,gt_based,0,,0,,629.125,512.375
97,0.33,0.43875,0.31,0.40125,0.3619791666666667,0.44570530726256985,0.22375,0.309609375,0.0630846204046117,0.24044829342842589,2026-04-03T19:41:51,0.2026,9,768,0.5148,0.3096,6,1600,0.417,0,100,100,gt_based,0,,0,,624.2525,514.540625
98,0.19,0.34375,0.18,0.28875,0.3767857142857143,0.47686068702290074,0.16375,0.26734375,0.08043929949539923,0.41887062187276625,2026-04-03T19:50:14,0.1568,9,560,0.5122,0.2673,6,1600,0.3887,0,100,100,gt_based,0,,0,,620.599375,535.775625
99,0.28,0.385,0.26,0.33375,0.3835227272727273,0.43657544378698226,0.21125,0.2859375,0.09801849405548217,0.32061805890873973,2026-04-03T19:58:53,0.1851,10,704,0.5477,0.2859,8,1600,0.4118,0,100,100,gt_based,0,,0,,653.5725,540.230625
100,0.29,0.415,0.24,0.37,0.5089285714285714,0.6410108024691358,0.2025,0.299375,0.04625,0.3205236486486487,2026-04-03T20:33:40,0.2915,8,672,0.5747,0.2994,7,1600,0.4099,0,100,100,gt_based,0,,0,,593.663125,514.706875
101,0.34,0.46625,0.33,0.41875,0.45611702127659576,0.4993407172995781,0.29625,0.38640625,0.057583741061347386,0.3752093802345059,2026-04-03T20:41:16,0.2469,6,752,0.5459,0.3864,8,1600,0.4429,0,100,100,gt_based,0,,0,,550.745625,498.10125
102,0.27,0.3525,0.28,0.345,0.43607954545454547,0.584464856230032,0.195625,0.255546875,0.04020343908936789,0.20874471086036672,2026-04-03T20:49:15,0.3063,9,704,0.4945,0.2555,10,1600,0.4038,0,100,100,gt_based,0,,0,,591.151875,542.72625
103,0.34,0.4477987421383648,0.31,0.3937106918238994,0.43359375,0.5197044334975369,0.25375,0.3382861635220126,0.06840829517910046,0.41029341029341027,2026-04-03T20:57:23,0.2504,5,768,0.4973,0.3362,8,1600,0.4317,0,100,100,gt_based,0,,0,,585.391875,557.6425
104,0.31,0.43107769423558895,0.32,0.38972431077694236,0.49728260869565216,0.6011757425742574,0.2525,0.3466478696741855,0.0636478784040532,0.2683379758588672,2026-04-03T21:05:24,0.3204,8,736,0.5661,0.3464,10,1600,0.4293,0,100,100,gt_based,0,,0,,584.0075,548.038125
105,0.31,0.42625,0.27,0.39375,0.4157608695652174,0.5346590909090909,0.20625,0.301015625,0.07674632352941177,0.3166977611940298,2026-04-03T21:13:27,0.2404,12,736,0.5116,0.301,5,1600,0.4127,0,100,100,gt_based,0,,0,,605.56875,558.65125
106,0.35,0.455470737913486,0.28,0.3753180661577608,0.4604591836734694,0.5240112994350282,0.22125,0.317589058524173,0.10155222309918442,0.3254303345241961,2026-04-03T21:21:38,0.2491,5,784,0.5251,0.3144,7,1600,0.4152,0,100,100,gt_based,0,,0,,570.01625,557.516875
107,0.27,0.37625,0.23,0.33,0.4253048780487805,0.5896946564885496,0.16375,0.26671875,0.04634373544480671,0.35074626865671643,2026-04-03T21:29:51,0.2824,6,656,0.4592,0.2667,11,1600,0.3812,0,100,100,gt_based,0,,0,,600.464375,587.0075
108,0.27,0.36215538847117795,0.27,0.34711779448621555,0.44932432432432434,0.5026809651474531,0.233125,0.29636591478696744,0.13927451858486342,0.3556254917387883,2026-04-03T21:38:38,0.2176,1,592,0.5936,0.2981,4,1600,0.419,0,100,100,gt_based,0,,0,,622.21125,594.293125
109,0.21,0.35,0.22,0.31375,0.3815789473684211,0.48575367647058826,0.17,0.25234375,0.07709130672498633,0.27357392316647267,2026-04-03T21:46:19,0.2347,6,608,0.5002,0.2523,13,1600,0.3834,0,100,100,gt_based,0,,0,,603.355,564.30625
110,0.16,0.33375,0.19,0.33,0.4583333333333333,0.5463942307692308,0.1625,0.25015625,0.11557340473003123,0.29867083659108684,2026-04-03T21:55:06,0.2768,7,480,0.5239,0.2502,8,1600,0.3901,0,100,100,gt_based,0,,0,,646.139375,569.6475
111,0.26,0.3675,0.27,0.38125,0.41388888888888886,0.48202341137123744,0.186875,0.273515625,0.07857142857142857,0.3781545741324921,2026-04-03T22:03:04,0.2527,8,720,0.4591,0.2735,8,1600,0.397,0,100,100,gt_based,0,,0,,598.438125,561.9825
112,0.28,0.395,0.21,0.33375,0.4166666666666667,0.5021484375,0.2,0.29515625,0.0688497061293031,0.3307430791646431,2026-04-03T22:10:46,0.1983,8,672,0.5516,0.2952,10,1600,0.4097,0,100,100,gt_based,0,,0,,557.53375,577.88625
113,0.33,0.42462311557788945,0.31,0.3969849246231156,0.4722222222222222,0.538804945054945,0.2275,0.3105370603015075,0.08012139605462823,0.39441899208663056,2026-04-03T22:18:50,0.2679,5,720,0.5504,0.3137,10,1600,0.4197,0,100,100,gt_based,0,,0,,589.6525,576.609375
114,0.23,0.3575,0.22,0.32875,0.4171875,0.5049283154121864,0.174375,0.259296875,0.10765027322404372,0.32608695652173914,2026-04-03T22:27:24,0.2352,4,640,0.5069,0.2593,13,1600,0.3931,0,100,100,gt_based,0,,0,,628.673125,603.09875
115,0.21,0.355,0.21,0.32875,0.4375,0.5210622710622711,0.170625,0.25265625,0.046055115137787844,0.37037037037037035,2026-04-03T22:35:59,0.2215,2,528,0.5623,0.2527,10,1600,0.3876,0,100,100,gt_based,0,,0,,656.97,611.14875
116,0.25,0.35375,0.24,0.3175,0.3997093023255814,0.5168711656441718,0.20375,0.274921875,0.0840764331210191,0.273701124799143,2026-04-03T22:43:50,0.2067,7,688,0.5354,0.2749,7,1600,0.4017,0,100,100,gt_based,0,,0,,603.9475,588.445
117,0.32,0.415,0.27,0.3525,0.41944444444444445,0.5125358166189111,0.218125,0.291953125,0.06682389937106918,0.3561320754716981,2026-04-03T22:52:08,0.2278,5,720,0.5223,0.292,8,1600,0.4193,0,100,100,gt_based,0,,0,,643.34375,583.761875
118,0.25,0.37092731829573933,0.21,0.33458646616541354,0.4203125,0.5340531561461794,0.188125,0.28720238095238093,0.11676396997497915,0.48659003831417624,2026-04-03T23:00:25,0.1924,3,640,0.5259,0.287,6,1600,0.4048,0,100,100,gt_based,0,,0,,610.364375,606.46625
119,0.22,0.34886649874055414,0.22,0.3161209068010076,0.3333333333333333,0.4542372881355932,0.184375,0.25661209068010077,0.05499781754692274,0.2682758620689655,2026-04-03T23:08:32,0.1844,5,672,0.5166,0.2622,9,1600,0.3974,0,100,100,gt_based,0,,0,,587.2225,596.55375
120,0.28,0.4175,0.29,0.4,0.44642857142857145,0.5213629943502824,0.22125,0.318203125,0.0965742251223491,0.19723183391003463,2026-04-03T23:16:55,0.2931,5,672,0.5885,0.3182,8,1600,0.4207,0,100,100,gt_based,0,,0,,626.515625,584.474375
121,0.34,0.44625,0.28,0.37625,0.4075,0.47044573643410853,0.241875,0.33203125,0.08002816240319174,0.2799318278653601,2026-04-03T23:25:27,0.246,9,800,0.5365,0.332,7,1600,0.4289,0,100,100,gt_based,0,,0,,629.939375,646.369375
122,0.26,0.41,0.22,0.35125,0.409375,0.49800531914893614,0.17625,0.279765625,0.06940236849352796,0.22412970910824992,2026-04-03T23:33:54,0.2463,7,640,0.5714,0.2798,5,1600,0.3959,0,100,100,gt_based,0,,0,,610.155625,596.773125
123,0.27,0.3677581863979849,0.22,0.3249370277078086,0.3948170731707317,0.4509985207100592,0.21125,0.29825251889168763,0.04693140794223827,0.36111111111111116,2026-04-03T23:42:42,0.1866,8,656,0.4659,0.296,5,1600,0.4149,0,100,100,gt_based,0,,0,,648.964375,578.06875
124,0.23,0.345,0.2,0.31125,0.3454861111111111,0.5131340579710145,0.1725,0.2475,0.08247142079477408,0.15008880994671403,2026-04-03T23:51:00,0.242,4,576,0.5185,0.2475,5,1600,0.3792,0,100,100,gt_based,0,,0,,607.59625,586.953125
125,0.32,0.4258793969849246,0.3,0.39321608040201006,0.3856707317073171,0.47033227848101267,0.1975,0.30182160804020103,0.03691813804173355,0.3284371327849589,2026-04-04T00:24:06,0.2392,8,656,0.4307,0.3003,6,1600,0.4063,0,100,100,gt_based,0,,0,,634.3475,578.8125
126,0.33,0.4475,0.25,0.36875,0.4753289473684211,0.563382768361582,0.22125,0.307890625,0.05267326732673267,0.35022742040285904,2026-04-04T00:32:13,0.2963,5,608,0.494,0.3079,11,1600,0.4137,0,100,100,gt_based,0,,0,,610.324375,602.275
127,0.3,0.435,0.25,0.34375,0.40476190476190477,0.4886527377521614,0.216875,0.29671875,0.04578174488914483,0.24030110017371165,2026-04-04T00:40:25,0.2886,7,672,0.5099,0.2967,4,1600,0.4135,0,100,100,gt_based,0,,0,,627.075625,565.40625
128,0.24,0.3333333333333333,0.19,0.2781954887218045,0.3288690476190476,0.44682539682539685,0.196875,0.28618421052631576,0.09558308015891563,0.3824145150034892,2026-04-04T00:48:35,0.1506,6,672,0.53,0.2877,4,1600,0.4029,0,100,100,gt_based,0,,0,,648.469375,602.1625
129,0.3,0.42,0.29,0.37375,0.4320652173913043,0.4984838274932615,0.231875,0.31625,0.14017628660790446,0.25871717606543265,2026-04-04T00:56:26,0.2327,4,736,0.5682,0.3162,8,1600,0.4212,0,100,100,gt_based,0,,0,,557.05375,553.658125
130,0.3,0.425,0.28,0.40125,0.37926136363636365,0.48679123711340205,0.2425,0.332109375,0.09674582233948989,0.2419452887537994,2026-04-04T01:04:11,0.2152,5,704,0.526,0.3321,11,1600,0.4248,0,100,100,gt_based,0,,0,,601.083125,557.144375
131,0.37,0.4514501891551072,0.33,0.3833543505674653,0.4741847826086957,0.5780396174863388,0.22875,0.30225409836065575,0.08653846153846154,0.25131578947368416,2026-04-04T01:12:24,0.3341,2,736,0.5207,0.3023,9,1600,0.4151,0,100,100,gt_based,0,,0,,581.030625,574.866875
132,0.26,0.38875,0.24,0.35,0.3980263157894737,0.5071373456790124,0.2025,0.2896875,0.07127295362589481,0.2930127723516154,2026-04-04T01:20:31,0.2193,5,608,0.5391,0.2897,9,1600,0.4104,0,100,100,gt_based,0,,0,,607.18625,568.83375
133,0.29,0.41125,0.27,0.39,0.4423076923076923,0.5063202247191011,0.2225,0.3121875,0.07158541941150637,0.4193337687785761,2026-04-04T01:28:34,0.2343,4,832,0.4724,0.3122,14,1600,0.415,0,100,100,gt_based,0,,0,,566.728125,568.1475
134,0.27,0.41625,0.24,0.35,0.40896739130434784,0.5549674267100977,0.191875,0.290546875,0.06310679611650485,0.31561618062088426,2026-04-04T01:36:42,0.2697,8,736,0.4527,0.2905,9,1600,0.407,0,100,100,gt_based,0,,0,,620.425625,590.930625
135,0.2,0.33125,0.22,0.31,0.4753289473684211,0.595458984375,0.16,0.246171875,0.0969096909690969,0.3901696389734667,2026-04-04T01:44:56,0.2491,2,608,0.4788,0.2462,9,1600,0.3807,0,100,100,gt_based,0,,0,,631.7975,576.035625
136,0.33,0.43625,0.29,0.39375,0.3882978723404255,0.4708449720670391,0.22375,0.308203125,0.044034440344403444,0.29656096471639126,2026-04-04T01:53:26,0.224,10,752,0.5264,0.3082,9,1600,0.4181,0,100,100,gt_based,0,,0,,647.85,557.261875
137,0.22,0.35768261964735515,0.25,0.3602015113350126,0.4011627906976744,0.530029296875,0.16,0.23598866498740553,0.05318450426789232,0.2671788305591123,2026-04-04T02:01:46,0.2737,8,688,0.4587,0.2347,9,1600,0.3822,0,100,100,gt_based,0,,0,,654.919375,553.945625
138,0.24,0.4105793450881612,0.24,0.380352644836272,0.37092391304347827,0.4218266253869969,0.201875,0.31753778337531485,0.08955905871601554,0.43523083818915287,2026-04-04T02:10:07,0.145,6,736,0.4799,0.3152,8,1600,0.4064,0,100,100,gt_based,0,,0,,578.120625,565.0975
139,0.32,0.44836272040302266,0.3,0.40554156171284633,0.41466346153846156,0.530016447368421,0.285,0.364845717884131,0.08729388942774007,0.37632135306553915,2026-04-04T02:18:00,0.1978,7,832,0.5449,0.3621,7,1600,0.4406,0,100,100,gt_based,0,,0,,581.730625,511.164375
140,0.25,0.35125,0.23,0.3225,0.4268292682926829,0.5754915730337079,0.2225,0.29875,0.04634366536262414,0.3635748138117806,2026-04-04T02:26:21,0.2611,6,656,0.5712,0.2988,9,1600,0.4152,0,100,100,gt_based,0,,0,,595.89,547.723125
141,0.31,0.425,0.26,0.36875,0.3704268292682927,0.4969919786096257,0.23375,0.3121875,0.04230317273795535,0.3249097472924187,2026-04-04T02:34:22,0.2256,2,656,0.538,0.3122,8,1600,0.4259,0,100,100,gt_based,0,,0,,614.499375,583.795625
142,0.31,0.41125,0.29,0.3925,0.41517857142857145,0.5265384615384615,0.203125,0.296875,0.07731520815632965,0.40920336467095497,2026-04-04T02:42:16,0.2023,7,672,0.4821,0.2969,10,1600,0.4049,0,100,100,gt_based,0,,0,,628.106875,532.19125
143,0.24,0.34125,0.19,0.2975,0.546875,0.6664186507936508,0.1575,0.24421875,0.09939220593493028,0.26309174696271476,2026-04-04T02:50:18,0.3936,5,576,0.5353,0.2442,8,1600,0.3811,0,100,100,gt_based,0,,0,,630.1125,522.99375
144,0.26,0.37125,0.24,0.3475,0.3155487804878049,0.3718051118210863,0.195625,0.274140625,0.0696774193548387,0.25418474891506515,2026-04-04T02:58:14,0.1836,3,656,0.4624,0.2741,7,1600,0.4084,0,100,100,gt_based,0,,0,,582.5175,497.359375
145,0.22,0.4080604534005038,0.18,0.3035264483627204,0.44921875,0.5885847107438017,0.15125,0.2607052896725441,0.06850751485494583,0.37148732008224816,2026-04-04T03:06:33,0.2937,7,512,0.5016,0.2587,9,1600,0.3811,0,100,100,gt_based,0,,0,,619.389375,572.90375
146,0.35,0.451693851944793,0.3,0.38268506900878296,0.4338235294117647,0.529979674796748,0.230625,0.3123431618569636,0.06531881804043546,0.3855149000377216,2026-04-04T03:14:53,0.2241,9,816,0.4692,0.312,11,1600,0.4194,0,100,100,gt_based,0,,0,,636.92125,542.7225
147,0.24,0.395,0.24,0.3675,0.3902027027027027,0.4415807560137457,0.181875,0.281484375,0.06815968841285297,0.2933717579250721,2026-04-04T03:22:35,0.2292,6,592,0.4982,0.2815,6,1600,0.3903,0,100,100,gt_based,0,,0,,592.1,552.444375
148,0.22,0.3350125944584383,0.19,0.3035264483627204,0.3602941176470588,0.3897210743801653,0.15125,0.23307619647355163,0.05428666004634227,0.31805632247377136,2026-04-04T03:30:33,0.2113,5,544,0.4195,0.2367,8,1600,0.377,0,100,100,gt_based,0,,0,,604.109375,542.23
149,0.3,0.43875,0.26,0.3875,0.4451219512195122,0.5139984227129337,0.198125,0.2903125,0.047315741583257506,0.28725905030559473,2026-04-04T03:38:34,0.3003,5,656,0.496,0.2903,8,1600,0.4044,0,100,100,gt_based,0,,0,,587.738125,529.89875
150,0.24,0.34711779448621555,0.17,0.24561403508771928,0.3464285714285714,0.44528388278388276,0.170625,0.24091478696741855,0.061911987860394535,0.23824209714726297,2026-04-04T04:12:23,0.2127,6,560,0.5223,0.2428,16,1600,0.3821,0,100,100,gt_based,0,,0,,616.56875,539.686875
151,0.21,0.31375,0.19,0.2875,0.3709677419354839,0.35032188841201717,0.145625,0.208515625,0.06595995288574794,0.3467790487658038,2026-04-04T04:19:50,0.1865,5,496,0.5171,0.2085,9,1600,0.3613,0,100,100,gt_based,0,,0,,571.26875,534.841875
152,0.27,0.3987421383647799,0.2,0.28553459119496855,0.46452702702702703,0.6176470588235294,0.159375,0.23388364779874213,0.04577259475218659,0.24821610601427113,2026-04-04T04:27:42,0.3347,5,592,0.484,0.2324,10,1600,0.3795,0,100,100,gt_based,0,,0,,615.2025,555.12
153,0.2,0.3883984867591425,0.23,0.37957124842370743,0.37202380952380953,0.4469758064516129,0.19375,0.3061948297604035,0.09387121799844841,0.34805194805194806,2026-04-04T04:35:46,0.1845,4,672,0.5097,0.3073,7,1600,0.4082,0,100,100,gt_based,0,,0,,595.220625,565.315625
154,0.22,0.34461152882205515,0.18,0.2869674185463659,0.3171875,0.4527310924369748,0.14875,0.22344924812030076,0.04864532019704434,0.2448717948717949,2026-04-04T04:43:56,0.182,12,640,0.5021,0.2252,11,1600,0.3672,0,100,100,gt_based,0,,0,,630.35125,566.738125
155,0.28,0.38125,0.24,0.33625,0.37797619047619047,0.43492879746835444,0.1975,0.278125,0.04237957357199263,0.22878228782287824,2026-04-04T04:52:28,0.2714,4,672,0.4826,0.2781,8,1600,0.4042,0,100,100,gt_based,0,,0,,579.7575,545.185
156,0.35,0.49375,0.31,0.42125,0.43068181818181817,0.5335755813953489,0.26875,0.356640625,0.06486601446193109,0.26861489191353083,2026-04-04T05:00:28,0.2797,5,880,0.5208,0.3566,12,1600,0.4346,0,100,100,gt_based,0,,0,,583.0325,551.246875
157,0.3,0.41375,0.28,0.36875,0.3977272727272727,0.5033185840707964,0.211875,0.294375,0.08552118533922537,0.2819869543401907,2026-04-04T05:08:50,0.225,3,704,0.5381,0.2944,5,1600,0.4148,0,100,100,gt_based,0,,0,,586.12,510.193125
158,0.29,0.39,0.22,0.31375,0.4182692307692308,0.48617788461538464,0.195,0.2646875,0.07257033248081841,0.23605150214592274,2026-04-04T05:16:42,0.2591,8,624,0.5188,0.2647,3,1600,0.3943,0,100,100,gt_based,0,,0,,586.446875,526.300625
159,0.28,0.43073047858942065,0.27,0.3954659949622166,0.36128048780487804,0.4473495702005731,0.218125,0.32816435768261965,0.06596531134489622,0.2021505376344086,2026-04-04T05:23:31,0.245,5,656,0.5264,0.3257,4,1600,0.4116,0,100,100,gt_based,0,,0,,569.855,529.47125
160,0.2,0.32871536523929473,0.15,0.2682619647355164,0.4125,0.47137605042016806,0.14875,0.24448992443324938,0.08594477195159789,0.28097459823742876,2026-04-04T05:31:26,0.2547,2,560,0.5327,0.2436,11,1600,0.3822,0,100,100,gt_based,0,,0,,608.414375,570.576875
161,0.31,0.39875,0.3,0.385,0.434375,0.5008491847826086,0.23,0.3046875,0.13353115727002968,0.2119565217391305,2026-04-04T05:39:06,0.2673,2,640,0.6125,0.3047,6,1600,0.4147,0,100,100,gt_based,0,,0,,593.139375,522.226875
162,0.22,0.3425,0.2,0.32625,0.44256756756756754,0.6121541501976284,0.158125,0.2709375,0.07891001986942946,0.259863229879011,2026-04-04T05:47:08,0.2831,7,592,0.518,0.2709,13,1600,0.3926,0,100,100,gt_based,0,,0,,610.261875,536.64875
163,0.3,0.38375,0.27,0.39,0.421195652173913,0.5204454787234043,0.235,0.31609375,0.06302083333333333,0.27812499999999996,2026-04-04T05:55:33,0.2718,12,736,0.523,0.3161,5,1600,0.4249,0,100,100,gt_based,0,,0,,619.403125,548.051875
164,0.26,0.38125,0.25,0.34125,0.45426829268292684,0.4931506849315068,0.1825,0.28140625,0.07642725598526703,0.38269680436477005,2026-04-04T06:02:26,0.2587,1,656,0.4818,0.2814,9,1600,0.3973,0,100,100,gt_based,0,,0,,571.895625,509.9025
165,0.34,0.44125,0.29,0.4175,0.4597222222222222,0.5595326409495549,0.210625,0.330078125,0.10501126126126126,0.3225931677018633,2026-04-04T06:10:27,0.2456,3,720,0.5209,0.3301,4,1600,0.4147,0,100,100,gt_based,0,,0,,589.73,513.120625
166,0.3,0.39125,0.31,0.37625,0.4806547619047619,0.5628787878787879,0.20625,0.279921875,0.0886426592797784,0.2537112010796221,2026-04-04T06:18:03,0.3309,3,672,0.5046,0.2799,10,1600,0.4066,0,100,100,gt_based,0,,0,,581.759375,502.918125
167,0.2,0.335,0.24,0.35,0.3680555555555556,0.4765625,0.17,0.272734375,0.08383751080380294,0.23402727925340994,2026-04-04T06:26:13,0.2012,4,576,0.5451,0.2727,8,1600,0.3865,0,100,100,gt_based,0,,0,,601.668125,500.905
168,0.3,0.42375,0.26,0.37625,0.53125,0.6241710875331565,0.235625,0.318125,0.08450210378681627,0.2987394957983194,2026-04-04T06:33:19,0.3354,4,704,0.5675,0.3181,5,1600,0.4204,0,100,100,gt_based,0,,0,,555.2,491.5575
169,0.26,0.3975,0.18,0.29875,0.4150641025641026,0.4982429718875502,0.155625,0.253125,0.05962059620596206,0.34545454545454546,2026-04-04T06:41:00,0.2324,7,624,0.4631,0.2531,10,1600,0.3737,0,100,100,gt_based,0,,0,,585.24125,496.9725
170,0.23,0.336272040302267,0.2,0.28085642317380355,0.478515625,0.5804227941176471,0.17,0.24606423173803527,0.10634648370497427,0.3289124668435013,2026-04-04T06:49:16,0.2876,3,512,0.5766,0.2517,8,1600,0.3873,0,100,100,gt_based,0,,0,,577.165625,546.7275
171,0.29,0.3725,0.27,0.35125,0.4491279069767442,0.5324868073878628,0.236875,0.306875,0.10494852208568582,0.2591826176927057,2026-04-04T06:57:04,0.2635,1,688,0.5715,0.3069,11,1600,0.4209,0,100,100,gt_based,0,,0,,576.4775,484.419375
