step,execution_bon_16x16_acc,execution_bon_16x16_accumulate_acc,execution_bon_4x4_acc,execution_bon_4x4_accumulate_acc,execution_case_acc,execution_case_accumulate_acc,execution_code_acc,execution_code_accumulate_acc,execution_p_00,execution_p_01_as_logged,recorded_at,reward_case_reward_mean,reward_case_reward_num_groups,reward_case_reward_num_samples,reward_case_reward_std,reward_code_reward_mean,reward_code_reward_num_groups,reward_code_reward_num_samples,reward_code_reward_std,reward_problems_skipped,reward_problems_total,reward_problems_used,reward_reward_mode,reward_rollout_debug_meta_enabled,reward_rollout_debug_meta_max_problems_per_step,reward_rollout_debug_meta_slots_remaining_after_step,reward_rollout_debug_meta_truncate_chars,sampling_mean_case_response_tokens,sampling_mean_code_response_tokens
20,0.25,0.4175,0.23,0.37125,0.34801136363636365,0.3611111111111111,0.21375,0.32046875,0.07927311035027654,0.3192982456140351,2026-04-03T07:30:26,0.1723,8,704,0.5018,0.3205,6,1600,0.417,0,100,100,gt_based,0,,0,,705.030625,621.625625
21,0.24,0.3588456712672522,0.21,0.32496863237139273,0.3832236842105263,0.4738675958188153,0.179375,0.26693851944792973,0.058740068104426786,0.2642679900744417,2026-04-03T07:38:50,0.2276,7,608,0.505,0.2664,9,1600,0.386,0,100,100,gt_based,0,,0,,686.193125,636.860625
22,0.24,0.355,0.23,0.32875,0.3157051282051282,0.3896321070234114,0.186875,0.26859375,0.020476068594829793,0.33952049497293113,2026-04-03T07:48:10,0.1983,10,624,0.4641,0.2686,13,1600,0.3937,0,100,100,gt_based,0,,0,,756.69125,648.1875
23,0.26,0.385,0.24,0.34625,0.328125,0.34286971830985913,0.1775,0.261640625,0.031625553447185324,0.3145695364238411,2026-04-03T07:57:14,0.16,9,576,0.5342,0.2616,10,1600,0.3968,0,100,100,gt_based,0,,0,,719.294375,645.7575
24,0.32,0.4075,0.28,0.3525,0.2818396226415094,0.3896780303030303,0.2475,0.32828125,0.058434782608695654,0.30904183535762486,2026-04-03T08:06:01,0.1152,13,848,0.5278,0.3283,14,1600,0.4305,0,100,100,gt_based,0,,0,,703.375,608.54
25,0.29,0.4323308270676692,0.27,0.41353383458646614,0.3273809523809524,0.37996575342465755,0.228125,0.3408521303258145,0.05861969390701704,0.3423050379572119,2026-04-03T08:39:46,0.2021,11,672,0.4673,0.3419,13,1600,0.4217,0,100,100,gt_based,0,,0,,649.806875,608.449375
26,0.27,0.3610062893081761,0.23,0.3433962264150943,0.3344594594594595,0.45810931899641577,0.174375,0.25927672955974845,0.04302477183833116,0.2872975277067349,2026-04-03T08:49:02,0.1847,10,592,0.5108,0.2577,8,1600,0.3915,0,100,100,gt_based,0,,0,,740.663125,661.9075
27,0.27,0.38742138364779877,0.28,0.3849056603773585,0.2759146341463415,0.3728730366492147,0.23875,0.3180817610062893,0.05412869373101353,0.23328964613368286,2026-04-03T08:57:58,0.1192,6,656,0.5331,0.3161,6,1600,0.4271,0,100,100,gt_based,0,,0,,688.583125,650.211875
28,0.27,0.38238993710691827,0.26,0.3383647798742138,0.32083333333333336,0.43876811594202897,0.215625,0.29221698113207545,0.06645091693635383,0.3311355311355312,2026-04-03T09:06:20,0.1816,14,720,0.4478,0.2904,11,1600,0.4164,0,100,100,gt_based,0,,0,,708.88,627.72375
29,0.2,0.33879093198992444,0.27,0.3438287153652393,0.3470394736842105,0.42045454545454547,0.185625,0.26912783375314864,0.11505437893531768,0.32253711201079627,2026-04-03T09:15:22,0.1699,6,608,0.5093,0.2671,6,1600,0.3934,0,100,100,gt_based,0,,0,,675.15875,629.630625
