step,code_acc,code_acc_acc,case_acc,case_acc_acc,p_01,p_00,bon_4_4_acc,bon_4_4_acc_acc,bon_16_16_acc,bon_16_16_acc_acc,mean_code_len,mean_case_len,code_reward_mean,code_reward_std,case_reward_mean,case_reward_std
0,0.20625,0.269921875,0.1458333333333333,0.2225378787878787,0.2647058823529411,0.0026178010471204,0.2,0.2375,0.2,0.2625,683.684375,886.384375,0.2699,0.4118,0.1169,0.3159
1,0.13142191977077364,0.2361667263610315,0.2293958930276981,0.2055863692181743,0.31198391209484505,0.12385333593549017,0.10017191977077365,0.23770057306590256,0.15017191977077363,0.3314505730659026,636.7666368194842,791.6692335243553,0.23607191977077363,0.3864,0.0501432664756447,0.4189
2,0.1972188395415473,0.24459907772206305,0.19490289716650744,0.2990695638331741,0.19277516363923125,0.03527911711702124,0.30034383954154725,0.33165114613180513,0.25034383954154726,0.32540114613180515,694.1457736389685,969.5290920487106,0.2444438395415473,0.3968,0.022786532951289396,0.492
3,0.19426575931232093,0.25498455408309456,0.18818767908309456,0.22447800166373966,0.21921953881839262,0.03271085653071511,0.2505157593123209,0.32560171919770775,0.20051575931232093,0.2881017191977077,621.5405354584527,848.5577005730659,0.2548157593123209,0.3957,0.1309297994269341,0.3523
4,0.23818767908309454,0.3067762804441261,0.18147246099968156,0.20486427386517866,0.2529173984040422,0.059924268896244574,0.2506876790830946,0.33830229226361036,0.3006876790830946,0.40080229226361036,670.8415472779369,740.8081840974212,0.3065876790830946,0.4284,0.008173065902578797,0.4953
5,0.2539845988538682,0.3448961318051576,0.3306915863506121,0.4610226750150341,0.18703352090309658,0.01690665007283915,0.3508595988538682,0.45725286532951287,0.3008595988538682,0.44475286532951286,646.3019340974212,811.9211676217766,0.3446595988538682,0.4246,0.2809163323782235,0.4863
6,0.15728151862464185,0.2408284831661891,0.3138753581661891,0.3951253581661891,0.31799089836507666,0.02540241558158932,0.15103151862464184,0.22620343839541548,0.15103151862464184,0.2762034383954155,721.7435709169055,822.4435261461318,0.24053151862464184,0.3791,0.24565959885386818,0.4355
7,0.20432843839541548,0.32543270952722064,0.2594170845272206,0.27660458452722064,0.5279602012499154,0.042540604835338496,0.2012034383954155,0.3701540114613181,0.2512034383954155,0.41390401146131806,741.2602077363897,743.022134670487,0.32500343839541546,0.4096,0.07740286532951289,0.3047
8,0.1763753581661891,0.22800568588825215,0.4214766680311092,0.5699141680311093,0.09357586162894553,0.037094582363874765,0.2513753581661891,0.29535458452722063,0.2513753581661891,0.33910458452722064,673.9330945558739,830.5632431948425,0.22757535816618912,0.3886,0.3785461318051576,0.4962
9,0.21092227793696275,0.2590942872492837,0.4217058943921408,0.49646602232391057,0.07709233588889743,0.00012893982808022923,0.25154727793696274,0.30805515759312324,0.25154727793696274,0.3205551575931232,673.9934813753581,759.2043517191977,0.25854727793696275,0.4021,0.41008939828080226,0.485
10,0.08296919770773639,0.20971413861031518,0.2679172636103152,0.5095038020718536,0.36307306590257876,0.0285523573847356,0.1017191977077364,0.23950573065902578,0.1017191977077364,0.25825573065902574,691.8944931948424,789.782960243553,0.2091191977077364,0.3271,0.19453266475644698,0.43
11,0.20501611747851003,0.2732246149713467,0.3072089899713467,0.3832907207405774,0.31491608677855093,0.04471853676672157,0.25189111747851,0.3084563037249284,0.25189111747851,0.3084563037249284,695.9736300143267,799.4584437679083,0.27259111747851,0.4059,0.19617593123209168,0.4162
12,0.14581303724928366,0.25353196633237823,0.4402507163323782,0.5244898467671608,0.19731689256624066,0.030226564579516738,0.20206303724928368,0.28365687679083096,0.20206303724928368,0.339906876790831,714.0246418338108,750.5714272922636,0.2528630372492837,0.379,0.2382191977077364,0.6035
13,0.1866099570200573,0.287394499655435,0.21547994269340973,0.19895451896459612,0.43963387456224134,0.04158752030368841,0.2522349570200573,0.4203289688440753,0.2022349570200573,0.3443796017554676,644.9725286532951,748.9719108166189,0.28543495702005733,0.3893,0.04356246418338109,0.4211
14,0.20553187679083096,0.24578729405444127,0.14904250238777456,0.15032455366982586,0.10130480482642432,0.04808789700956448,0.25240687679083096,0.2840580229226361,0.20240687679083097,0.2715580229226361,693.3204154727794,749.6067693409742,0.24500687679083097,0.4006,0.0749057306590258,0.3416
15,0.1025787965616046,0.2034383954154728,0.23000089541547278,0.3510946454154728,0.047881542427535895,0.01829213882603885,0.1025787965616046,0.22175859598853867,0.2025787965616046,0.3967585959885387,711.3339272922636,798.3166278653296,0.2025787965616046,0.335,0.2064489971346705,0.4193
16,0.21837571633237823,0.2856988717765043,0.32137595510983763,0.357834288443171,0.2710023755295962,0.02987492411952752,0.3027507163323782,0.33445916905444123,0.3527507163323782,0.47195916905444124,606.4505641117478,705.1546113896848,0.2847507163323782,0.4156,0.19509226361031518,0.37
17,0.08104763610315187,0.22928747313753584,0.15389684813753582,0.13139684813753583,0.17905640381520585,0.02885390723202919,0.052922636103151864,0.28465974212034384,0.15292263610315185,0.32840974212034385,659.8859509312321,839.4957199140401,0.22832263610315184,0.3454,0.10433553008595989,0.3097
18,0.4187195558739255,0.47951669949856734,0.36870940783190065,0.45337419479931923,0.3254589995406724,0.13662151601979675,0.35309455587392546,0.4786103151862464,0.4530945558739255,0.5848603151862465,650.1900877507163,738.3305784383954,0.4784945558739255,0.4675,0.2288787965616046,0.47
19,0.12826647564469915,0.18671289579630765,0.35852196752626553,0.48560530085959885,0.21295323199456073,0.03360553963705823,0.10326647564469915,0.16203873635341481,0.10326647564469915,0.193684305973668,773.2317245702005,882.3279369627506,0.18526647564469914,0.3467,0.28042206303724926,0.436
20,0.13468839541547278,0.19599077722063038,0.22958452722063039,0.35577500341110646,0.3088384394974653,0.0938117128074045,0.15343839541547277,0.19776146131805158,0.10343839541547278,0.2040114613180516,684.1889863896848,838.4784204871061,0.19483839541547276,0.3542,0.10036532951289398,0.348
21,0.22861031518624642,0.2696575035816619,0.3016887535816619,0.3954387535816619,0.22144153363351068,0.0030481123461065683,0.25361031518624644,0.3167120343839542,0.3036103151862464,0.36671203438395417,579.3681232091691,740.2695290114614,0.2684103151862464,0.4193,0.17140859598853866,0.5107
22,0.17253223495702008,0.2249648549426934,0.10920964660936001,0.1045800169797304,0.36270652811820353,0.007106357723498038,0.30378223495702006,0.3856626074498567,0.25378223495702007,0.37316260744985674,679.7253850286534,872.5637625358166,0.22368223495702008,0.3746,-0.10864813753581662,0.4659
