step,exp,mean_code_response_tokens,mean_case_response_tokens,code_acc,code_accumulate_acc,case_acc,case_accumulate_acc,p_01_as_logged,p_00,bon_k4_acc,bon_k4_accumulate_acc,bon_k16_acc,bon_k16_accumulate_acc,code_reward_mean,code_reward_std,code_reward_num_groups,code_reward_num_samples,case_reward_mean,case_reward_std,case_reward_num_groups,case_reward_num_samples,problems_total,problems_used,problems_skipped,gt_correlation_mean_spearman,gt_correlation_n
1,cure,661.159375,847.04625,0.245625,0.33063756281407036,0.26,0.3244274809160305,0.15505617977528086,0.024531581997295732,0.32,0.4258793969849246,0.38,0.5,0.329,0.428,12,1600,0.116,0.5363,15,800,100,100,0,None,None
2,cure,698.2625,842.850625,0.14625,0.219140625,0.3387096774193548,0.43482905982905984,0.2970639032815199,0.04218852999340804,0.16,0.2375,0.19,0.30125,0.2191,0.3725,10,1600,0.2051,0.4721,12,496,100,100,0,None,None
3,cure,652.4,767.8025,0.23625,0.325703125,0.296195652173913,0.3931878306878307,0.2883275261324042,0.04104803493449782,0.3,0.38125,0.32,0.43,0.3257,0.4196,9,1600,0.1368,0.4672,9,736,100,100,0,None,None
4,cure,636.08125,839.324375,0.21625,0.328515625,0.24375,0.28034682080924855,0.3150816522574448,0.0444990444990445,0.24,0.385,0.26,0.42,0.3285,0.4139,13,1600,0.1082,0.4363,14,640,100,100,0,None,None
5,cure,672.440625,849.52125,0.156875,0.21749371859296482,0.2536764705882353,0.3331673306772908,0.2520746887966805,0.038399570354457575,0.24,0.3027638190954774,0.25,0.31909547738693467,0.2214,0.3728,9,1600,0.069,0.527,11,544,100,100,0,None,None
6,cure,693.41,848.043125,0.156875,0.223828125,0.27364864864864863,0.4153386454183267,0.2415094339622641,0.04253867151956324,0.2,0.26125,0.22,0.315,0.2238,0.3751,13,1600,0.1663,0.4925,18,592,100,100,0,None,None
7,cure,669.354375,795.575,0.13625,0.224296875,0.28308823529411764,0.39936926605504586,0.2428825622775801,0.04667644183773216,0.19,0.28125,0.23,0.3175,0.2243,0.3635,12,1600,0.1589,0.493,8,544,100,100,0,None,None
8,cure,637.73875,822.50125,0.2575,0.3366228070175439,0.3321078431372549,0.40048543689320387,0.29210526315789476,0.033304119193689745,0.29,0.37092731829573933,0.36,0.4548872180451128,0.3363,0.4314,10,1600,0.2093,0.4698,16,816,100,100,0,None,None
9,cure,658.33625,858.303125,0.19875,0.289375,0.27827380952380953,0.3565251572327044,0.2995951417004049,0.01693384511176338,0.24,0.34125,0.27,0.4175,0.2894,0.4103,14,1600,0.1461,0.4849,12,672,100,100,0,None,None
10,cure,682.93375,796.425,0.18125,0.26609848484848486,0.2534722222222222,0.3433189655172414,0.329736211031175,0.0606627471940139,0.18,0.28535353535353536,0.2,0.3421717171717172,0.2643,0.3975,12,1600,0.1269,0.432,8,576,100,100,0,None,None
11,cure,662.82625,744.91875,0.195625,0.277265625,0.2935606060606061,0.340055910543131,0.4366041896361632,0.07066719305171733,0.22,0.31625,0.22,0.35375,0.2773,0.4076,10,1600,0.067,0.543,9,528,100,100,0,None,None
12,cure,644.86625,742.82625,0.175625,0.270390625,0.26785714285714285,0.35920818505338076,0.26975683890577506,0.05,0.2,0.32,0.26,0.40625,0.2704,0.3843,10,1600,0.1688,0.4439,20,672,100,100,0,None,None
13,cure,647.88,779.94625,0.18625,0.28132832080200504,0.25844594594594594,0.2999161073825503,0.3354661791590493,0.07313019390581718,0.23,0.3182957393483709,0.23,0.3659147869674185,0.2813,0.3976,4,1600,0.0797,0.4994,12,592,100,100,0,None,None
14,cure,663.06125,780.188125,0.176875,0.24765625,0.24404761904761904,0.30940812720848054,0.308390022675737,0.032850438685982454,0.2,0.27375,0.24,0.3375,0.2477,0.3876,11,1600,0.1597,0.393,13,672,100,100,0,None,None
15,cure,629.815625,724.964375,0.25125,0.32296875,0.3347222222222222,0.37297885572139305,0.29102990033222587,0.035166061959252023,0.28,0.3675,0.32,0.425,0.323,0.4308,7,1600,0.2121,0.485,6,720,100,100,0,None,None
16,cure,651.885,754.40625,0.22875,0.313515625,0.25510204081632654,0.2891051912568306,0.34978408389882787,0.035326623248470496,0.27,0.395,0.28,0.4125,0.3135,0.4257,7,1600,0.1263,0.3929,16,784,100,100,0,None,None
17,cure,663.11,723.8725,0.2625,0.34887941919191917,0.3527777777777778,0.4029761904761905,0.3007896625987079,0.025535661872615203,0.36,0.43686868686868685,0.39,0.5088383838383839,0.3478,0.4371,7,1600,0.2394,0.4564,12,720,100,100,0,None,None
18,cure,635.509375,742.8425,0.220625,0.29311708860759494,0.27853260869565216,0.37747875354107646,0.23100537221795858,0.06010362694300518,0.28,0.37848101265822787,0.3,0.3949367088607595,0.302,0.4148,7,1600,0.1471,0.5267,13,736,100,100,0,None,None
19,cure,617.890625,729.23,0.29,0.382578125,0.2650462962962963,0.3018588362068966,0.31411126187245586,0.03836784409257003,0.32,0.445,0.32,0.475,0.3826,0.4428,9,1600,0.1326,0.469,21,864,100,100,0,None,None
20,cure,621.625625,705.030625,0.21375,0.32046875,0.34801136363636365,0.3611111111111111,0.3192982456140351,0.07927311035027654,0.23,0.37125,0.25,0.4175,0.3205,0.417,6,1600,0.1723,0.5018,8,704,100,100,0,None,None
